Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,-43188.567658585904,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5
49,0,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,3358.1041650296065,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7
37,1,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,31541.91001864809,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0
33,0,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,-20042.810011473946,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0
27,0,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,-16802.196058936013,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2
32,0,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,-10142.351980820886,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6
59,0,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,-14968.17386949137,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0
30,0,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,5530.491122071377,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0
38,0,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,58424.39734193432,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8
36,0,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,11262.876181362484,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7
35,0,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,21144.5342934653,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3
29,0,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,799.3925277032981,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8
31,0,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,24936.590134748876,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3
34,0,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,17461.18919193188,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2
28,1,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,-352.0206126553512,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3
29,0,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,-7418.587904554617,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8
32,0,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,50543.3984837059,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5
22,0,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,13709.219359025386,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0
53,0,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,42737.96112337489,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7
38,0,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,17518.232682936006,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2
24,0,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,10059.531535035792,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3
36,1,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,17820.990273919135,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3
34,0,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,-18956.447560218472,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11
21,0,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,48114.946168575545,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0
34,1,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,23316.00643195122,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3
53,0,2,1282,1,5,3,4,1,32,3,0,58,3,5,3,3,0,20519.426203789193,10735,4,0,0,11,3,4,80,1,26,3,2,14,13,4,8
32,1,1,1125,1,16,1,1,1,33,2,0,72,1,1,6,1,2,-36046.35677202889,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7
42,0,2,691,2,8,4,2,1,35,3,1,48,3,2,7,2,1,59635.05693413528,21173,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2
44,0,2,477,1,7,4,3,1,36,1,0,42,2,3,0,4,1,614.6279998896152,2094,3,0,0,14,3,4,80,1,24,4,3,22,6,5,17
46,0,2,705,2,2,4,2,1,38,2,0,83,3,5,3,1,2,2624.4698507103258,22822,3,0,0,12,3,4,80,0,22,2,2,2,2,2,1
33,0,2,924,1,2,3,3,1,39,3,1,78,3,1,2,4,2,-471.16160806602056,6670,4,0,0,11,3,4,80,0,7,3,3,1,1,0,0
44,0,2,1459,1,10,4,4,1,40,4,1,41,3,2,0,4,1,5718.341062626838,19121,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3
30,0,2,125,1,9,2,3,1,41,4,1,83,2,1,2,3,2,25954.771217496607,16117,1,0,0,13,3,1,80,0,10,5,3,10,0,1,8
39,1,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,8664.496555482625,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0
24,1,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,-26704.779310792565,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0
43,0,2,1273,1,2,2,3,1,46,4,0,72,4,1,6,3,0,-556.5711286036367,21923,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4
50,1,2,869,2,3,2,2,1,47,1,1,86,2,1,8,3,1,25264.379475358593,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2
35,0,2,890,2,2,3,2,1,49,4,0,97,3,1,8,4,1,-23331.346240705207,9687,1,0,0,13,3,1,80,0,2,3,3,2,2,2,2
36,0,2,852,1,5,4,1,1,51,2,0,82,2,1,6,1,1,31089.850628631495,13072,9,0,1,14,3,4,80,1,6,3,4,1,1,0,0
33,0,1,1141,2,1,3,1,1,52,3,0,42,4,2,7,1,1,-9934.738206267708,3193,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3
35,0,2,464,1,4,2,4,1,53,3,1,75,3,1,2,4,0,-7225.337962550901,10910,1,0,0,12,3,3,80,1,1,3,3,1,0,0,0
27,0,2,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,91083.93993118059,19715,1,0,0,13,3,4,80,1,1,6,3,1,0,0,0
26,1,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,12226.347466046625,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1
27,0,1,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,39789.60370202684,2975,1,0,0,15,3,4,80,0,9,0,3,9,8,1,7
30,0,1,721,1,1,2,3,1,57,3,0,58,3,2,2,4,2,-851.8085859925777,10781,1,0,0,23,4,4,80,0,12,2,3,12,8,3,7
41,1,2,1360,1,12,3,5,1,58,2,0,49,3,5,5,3,1,-16017.40571584968,16280,1,0,0,12,3,4,80,0,23,0,3,22,15,15,8
34,0,0,1065,2,23,4,2,1,60,2,1,72,3,2,7,3,2,3022.1232847274546,10034,0,0,0,20,4,3,80,0,10,2,3,9,5,8,7
37,0,2,408,1,19,2,1,1,61,2,1,73,3,1,6,2,1,-161.8967062593597,10227,4,0,0,21,4,1,80,0,8,1,3,1,0,0,0
46,0,1,1211,2,5,4,2,1,62,1,1,98,3,2,7,4,2,5279.820277717377,20445,4,0,1,21,4,3,80,0,14,4,3,9,6,0,8
35,0,2,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,-3488.1130315686296,4892,1,0,0,19,3,4,80,0,1,2,3,1,0,0,1
48,1,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,24375.336545224836,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0
28,1,2,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,-767.5638755710497,11179,1,0,1,13,3,3,80,0,2,3,2,2,2,2,2
44,0,2,1488,2,1,5,2,1,68,2,0,75,3,2,7,1,0,-7027.9737723285125,4009,5,0,1,21,4,3,80,1,9,2,2,4,3,1,3
